review_text,sentiment
"Good phone, works well most of the time and I'm satisfied overall.",neutral
"The mouse stopped working within a week, very disappointed.",negative
"Excellent build quality on this keyboard, worth every penny.",positive
"Excellent build quality on this backpack, worth every penny.",positive
"A fairly standard keyboard, similar to others I've owned before. Setup was straightforward.",neutral
"The blender is functional, though the design feels a little outdated.",neutral
"Best jacket I have ever bought, highly recommend to anyone looking for one. It took a while to arrive.",positive
The sofa works flawlessly and the customer service was fantastic too.,positive
"This mattress is a game changer, so glad I purchased it. Customer support responded quickly.",positive
"Fantastic monitor, easy to set up and performs beautifully. It took a while to arrive.",positive
"This air fryer broke after just two days, complete waste of money.",negative
I love this backpack! Works perfectly and looks even better than the photos. It took a while to arrive.,positive
"Awful experience with this jacket, arrived damaged and support ignored me. It took a while to arrive.",negative
I love this monitor! Works perfectly and looks even better than the photos.,positive
"It's a decent mouse for the price, though I expected a bit more.",neutral
"I regret buying this router, poor quality and flimsy materials. Customer support responded quickly.",negative
"Wonderful keyboard, comfortable and durable, will buy again. Not sure if I'd repurchase.",positive
"The sofa arrived on time, packaging was standard, quality is acceptable.",neutral
"Not bad, not great — this mattress does the job adequately.",neutral
"The phone arrived on time, packaging was standard, quality is acceptable. Packaging could be better.",neutral
"Fantastic vacuum cleaner, easy to set up and performs beautifully.",positive
"The keyboard works as expected, no complaints but nothing outstanding either.",neutral
"This keyboard is fine for occasional use, wouldn't call it exceptional.",neutral
"Reasonable mattress overall, meets basic requirements without any surprises. The instructions were unclear.",neutral
"Best watch I have ever bought, highly recommend to anyone looking for one. It took a while to arrive.",positive
"This shoes is fine for occasional use, wouldn't call it exceptional.",neutral
I love this monitor! Works perfectly and looks even better than the photos.,positive
I love this mouse! Works perfectly and looks even better than the photos. Not sure if I'd repurchase.,positive
"Good blender, works well most of the time and I'm satisfied overall.",positive
"This keyboard is fine for occasional use, wouldn't call it exceptional.",neutral
"The blender arrived on time, packaging was standard, quality is acceptable.",neutral
The blender works flawlessly and the customer service was fantastic too.,positive
"This laptop is a game changer, so glad I purchased it. Not sure if I'd repurchase.",positive
"The keyboard is good enough I suppose, but also somewhat underwhelming.",neutral
"Great quality monitor, exceeded my expectations and arrived quickly. Customer support responded quickly.",positive
"Fantastic mouse, easy to set up and performs beautifully.",positive
"This phone broke after just two days, complete waste of money. Shipping was fast.",negative
"I regret buying this air fryer, poor quality and flimsy materials.",negative
"This jacket is fine for occasional use, wouldn't call it exceptional. Would consider buying again.",neutral
"The monitor stopped working within a week, very disappointed.",negative
"Good vacuum cleaner, works well most of the time and I'm satisfied overall. It took a while to arrive.",positive
I love this watch! Works perfectly and looks even better than the photos.,positive
"I regret buying this backpack, poor quality and flimsy materials.",negative
"The tablet is functional, though the design feels a little outdated. The instructions were unclear.",neutral
The air fryer works flawlessly and the customer service was fantastic too. Not sure if I'd repurchase.,positive
"Fantastic mattress, easy to set up and performs beautifully. Would consider buying again.",positive
"Good keyboard, works well most of the time and I'm satisfied overall.",positive
"The air fryer arrived on time, packaging was standard, quality is acceptable.",neutral
The tablet works flawlessly and the customer service was fantastic too. It took a while to arrive.,positive
"The headphones is functional, though the design feels a little outdated.",neutral
"This shoes is average, works fine for basic use. Setup was straightforward.",neutral
"The shoes stopped working within a week, very disappointed.",negative
"Not bad, not great — this shoes does the job adequately.",neutral
"Do not buy this mattress, it is overpriced and badly made.",negative
"Fantastic watch, easy to set up and performs beautifully.",positive
"Good air fryer, works well most of the time and I'm satisfied overall.",positive
"Excellent build quality on this monitor, worth every penny.",positive
"A fairly standard shoes, similar to others I've owned before.",neutral
"Good mouse, works well most of the time and I'm satisfied overall.",positive
"The shoes is good enough I suppose, but also somewhat underwhelming.",neutral
"Worst router I've purchased, malfunctioned right out of the box.",negative
"The charger is functional, though the design feels a little outdated.",neutral
"Great quality router, exceeded my expectations and arrived quickly.",positive
"Very disappointed with this headphones, nothing like the description.",negative
"Excellent build quality on this blender, worth every penny. Setup was straightforward.",positive
"This backpack is fine for occasional use, wouldn't call it exceptional.",neutral
"Best camera I have ever bought, highly recommend to anyone looking for one.",positive
"This jacket is fine for occasional use, wouldn't call it exceptional. Not sure if I'd repurchase.",neutral
"Reasonable sofa overall, meets basic requirements without any surprises.",neutral
"Terrible laptop, does not work as advertised and support was unhelpful.",negative
"Wonderful keyboard, comfortable and durable, will buy again.",positive
The blender is okay in some ways but honestly kind of disappointing overall.,negative
"The headphones arrived on time, packaging was standard, quality is acceptable.",neutral
"Reasonable speaker overall, meets basic requirements without any surprises.",neutral
"This camera is fine for occasional use, wouldn't call it exceptional.",neutral
"Good vacuum cleaner, works well most of the time and I'm satisfied overall.",positive
"Wonderful mattress, comfortable and durable, will buy again.",positive
"This router broke after just two days, complete waste of money.",neutral
"Excellent build quality on this speaker, worth every penny. Setup was straightforward.",positive
"Not bad, not great — this tablet does the job adequately. Setup was straightforward.",positive
"This camera is a game changer, so glad I purchased it.",positive
"Awful experience with this jacket, arrived damaged and support ignored me. It took a while to arrive.",negative
"The speaker is good enough I suppose, but also somewhat underwhelming.",negative
"The jacket arrived on time, packaging was standard, quality is acceptable. Not sure if I'd repurchase.",positive
"Awful experience with this backpack, arrived damaged and support ignored me.",negative
"The blender is functional, though the design feels a little outdated.",neutral
"Very disappointed with this laptop, nothing like the description.",negative
"This blender is a game changer, so glad I purchased it. Setup was straightforward.",positive
"I regret buying this phone, poor quality and flimsy materials. Would consider buying again.",negative
"Very disappointed with this charger, nothing like the description.",negative
"Worst headphones I've purchased, malfunctioned right out of the box.",negative
"The mouse is functional, though the design feels a little outdated.",neutral
"The sofa is okay, does what it says but nothing special. Shipping was fast.",neutral
"Super happy with this monitor, it solved exactly the problem I had.",positive
"The phone works as expected, no complaints but nothing outstanding either.",neutral
"The router is good enough I suppose, but also somewhat underwhelming.",negative
"Terrible headphones, does not work as advertised and support was unhelpful. The instructions were unclear.",negative
"Not bad, not great — this air fryer does the job adequately. The instructions were unclear.",neutral
"Very disappointed with this keyboard, nothing like the description.",negative
"Awful experience with this router, arrived damaged and support ignored me.",negative
The blender is okay in some ways but honestly kind of disappointing overall.,negative
"This sofa broke after just two days, complete waste of money. Would consider buying again.",negative
"This phone is fine for occasional use, wouldn't call it exceptional.",negative
"The blender arrived on time, packaging was standard, quality is acceptable.",neutral
"The monitor stopped working within a week, very disappointed.",neutral
I love this charger! Works perfectly and looks even better than the photos.,positive
"This keyboard is absolutely amazing, I use it every day and it never disappoints.",positive
"Wonderful blender, comfortable and durable, will buy again.",neutral
"The vacuum cleaner stopped working within a week, very disappointed.",negative
"The phone is noisy, slow, and generally a frustrating experience. The instructions were unclear.",negative
I love this jacket! Works perfectly and looks even better than the photos.,positive
I love this router! Works perfectly and looks even better than the photos.,positive
"Super happy with this laptop, it solved exactly the problem I had. Not sure if I'd repurchase.",positive
I love this mouse! Works perfectly and looks even better than the photos.,positive
"The router arrived on time, packaging was standard, quality is acceptable.",neutral
I love this mattress! Works perfectly and looks even better than the photos.,positive
"Wonderful camera, comfortable and durable, will buy again. Packaging could be better.",positive
"The shoes is noisy, slow, and generally a frustrating experience.",negative
"Super happy with this speaker, it solved exactly the problem I had.",positive
"This tablet is fine for occasional use, wouldn't call it exceptional.",neutral
"This phone is fine for occasional use, wouldn't call it exceptional. Shipping was fast.",neutral
"Not bad, not great — this shoes does the job adequately. Setup was straightforward.",neutral
"Great quality watch, exceeded my expectations and arrived quickly. It took a while to arrive.",positive
"This shoes is fine for occasional use, wouldn't call it exceptional.",neutral
"The vacuum cleaner is good enough I suppose, but also somewhat underwhelming.",neutral
"This phone is fine for occasional use, wouldn't call it exceptional.",negative
"Worst backpack I've purchased, malfunctioned right out of the box.",neutral
"A fairly standard sofa, similar to others I've owned before. The instructions were unclear.",neutral
"This watch is absolutely amazing, I use it every day and it never disappoints.",positive
"Super happy with this camera, it solved exactly the problem I had.",positive
"Great quality tablet, exceeded my expectations and arrived quickly.",positive
