App,Category,Review_Text
Music And Audio App 752,MUSIC_AND_AUDIO,"Best app in this category, super smooth and reliable."
Music And Audio App 752,MUSIC_AND_AUDIO,"This app saved me so much time, absolutely worth it."
Music And Audio App 752,MUSIC_AND_AUDIO,"Amazing experience, does exactly what I need every day."
Music And Audio App 752,MUSIC_AND_AUDIO,"Too many ads, ruins the whole experience."
Social App 134,SOCIAL,"Crashes constantly, very frustrating to use."
Social App 134,SOCIAL,"This app saved me so much time, absolutely worth it."
Social App 134,SOCIAL,"Terrible app, doesn't work as advertised at all."
Social App 134,SOCIAL,"Battery drain is insane, uninstalling immediately."
Social App 134,SOCIAL,"Amazing experience, does exactly what I need every day."
Education App 36,EDUCATION,"This app saved me so much time, absolutely worth it."
Education App 36,EDUCATION,"Battery drain is insane, uninstalling immediately."
Education App 36,EDUCATION,"Best app in this category, super smooth and reliable."
Education App 36,EDUCATION,"This app saved me so much time, absolutely worth it."
Education App 36,EDUCATION,"Crashes constantly, very frustrating to use."
Social App 57,SOCIAL,"Amazing experience, does exactly what I need every day."
Social App 57,SOCIAL,"Amazing experience, does exactly what I need every day."
Social App 57,SOCIAL,"Best app in this category, super smooth and reliable."
Social App 57,SOCIAL,"Battery drain is insane, uninstalling immediately."
Social App 57,SOCIAL,"This app saved me so much time, absolutely worth it."
Social App 57,SOCIAL,"This app saved me so much time, absolutely worth it."
Social App 57,SOCIAL,"Crashes constantly, very frustrating to use."
Game App 53,GAME,"Decent app for the price, could use more features."
Game App 53,GAME,"Not bad, but there are better alternatives out there."
Game App 53,GAME,"Not bad, but there are better alternatives out there."
Game App 53,GAME,"Love this app, works great and very easy to use!"
Game App 53,GAME,"Average experience, nothing special but works."
Communication App 833,COMMUNICATION,"Not bad, but there are better alternatives out there."
Communication App 833,COMMUNICATION,"Average experience, nothing special but works."
Communication App 833,COMMUNICATION,"Crashes constantly, very frustrating to use."
Communication App 833,COMMUNICATION,"It's an okay app, does the basic job."
Photography App 491,PHOTOGRAPHY,"This app saved me so much time, absolutely worth it."
Photography App 491,PHOTOGRAPHY,"Amazing experience, does exactly what I need every day."
Photography App 491,PHOTOGRAPHY,"Average experience, nothing special but works."
Photography App 491,PHOTOGRAPHY,"It's an okay app, does the basic job."
Social App 475,SOCIAL,"Amazing experience, does exactly what I need every day."
Social App 475,SOCIAL,"It's an okay app, does the basic job."
Social App 475,SOCIAL,"Fantastic UI and no crashes at all, highly recommend."
Tools App 819,TOOLS,"Works fine most of the time, occasional bugs."
Tools App 819,TOOLS,"Too many ads, ruins the whole experience."
Tools App 819,TOOLS,"Terrible app, doesn't work as advertised at all."
Tools App 207,TOOLS,"It's an okay app, does the basic job."
Tools App 207,TOOLS,"Works fine most of the time, occasional bugs."
Tools App 207,TOOLS,"Love this app, works great and very easy to use!"
Tools App 207,TOOLS,"Decent app for the price, could use more features."
Productivity App 105,PRODUCTIVITY,"Amazing experience, does exactly what I need every day."
Productivity App 105,PRODUCTIVITY,"Worst update ever, broke all the features I liked."
Productivity App 105,PRODUCTIVITY,"Crashes constantly, very frustrating to use."
Communication App 236,COMMUNICATION,"Best app in this category, super smooth and reliable."
Communication App 236,COMMUNICATION,"Amazing experience, does exactly what I need every day."
Communication App 236,COMMUNICATION,"Love this app, works great and very easy to use!"
Communication App 236,COMMUNICATION,"Best app in this category, super smooth and reliable."
Photography App 732,PHOTOGRAPHY,"Crashes constantly, very frustrating to use."
Photography App 732,PHOTOGRAPHY,"Love this app, works great and very easy to use!"
